time,views
1723028109.6660302,16528282.0
1723028119.664679,16528408.0
1723028129.6552398,16528579.0
1723028139.6445527,16528651.0
1723028149.654382,16528840.0
1723028159.6612992,16529020.0
1723028169.663653,16529146.0
1723028179.6685908,16529317.0
1723028189.6817253,16529542.0
1723028199.6364088,16529632.0
1723028209.622113,16529821.0
1723028219.6320667,16530046.0
1723028229.6631818,16530154.0
1723028240.132983,16530307.0
1723028250.127812,16530532.0
1723028259.6231258,16530649.0
1723028269.6496267,16530802.0
1723028279.689389,16531027.0
1723028289.6663077,16531207.0
1723028299.6175954,16531333.0
1723028309.7014308,16531504.0
1723028319.629234,16531693.0
1723028329.6386032,16531765.0
1723028339.663715,16531945.0
1723028349.615444,16532071.0
1723028359.6109014,16532251.0
1723028369.6521285,16532431.0
1723028379.6133525,16532557.0
1723028389.6384852,16532746.0
1723028399.6944747,16532962.0
1723028409.6200776,16533088.0
1723028419.6354039,16533223.0
1723028429.6327295,16533448.0
1723028439.6587088,16533565.0
1723028449.6678014,16533718.0
1723028459.6809278,16533943.0
1723028469.632944,16534105.0
1723028479.6084588,16534240.0
1723028489.6507752,16534420.0
1723028499.669133,16534609.0
1723028509.690429,16534735.0
1723028519.646967,16534861.0
1723028529.6184936,16534987.0
1723028539.6073449,16535158.0
1723028549.6585715,16535338.0
1723028559.658053,16535464.0
1723028569.653885,16535653.0
1723028579.6574585,16535878.0
1723028589.6278286,16535968.0
1723028599.6283278,16536139.0
1723028609.6473453,16536373.0
1723028619.6556394,16536481.0
1723028629.6399763,16536652.0
1723028639.6605322,16536877.0
1723028649.6414835,16536994.0
1723028659.6729558,16537129.0
1723028669.6333463,16537354.0
1723028679.6509912,16537543.0
1723028689.6209643,16537669.0
1723028699.7330868,16537849.0
1723028709.6217847,16538029.0
1723028719.6485782,16538092.0
1723028729.675138,16538281.0
1723028739.6275516,16538398.0
1723028749.6646955,16538587.0
1723028759.6495063,16538803.0
1723028769.6052659,16538893.0
1723028779.626358,16539064.0
1723028789.6690447,16539289.0
1723028799.6139345,16539406.0
1723028809.64103,16539559.0
1723028819.6894894,16539784.0
1723028829.675863,16539955.0
1723028839.6092894,16540036.0
1723028849.5930455,16540261.0
1723028859.9556804,16540441.0
1723028869.7293363,16540576.0
1723028879.6592524,16540756.0
1723028889.6685576,16540927.0
1723028899.605208,16540999.0
1723028909.6526096,16541188.0
1723028919.6184638,16541305.0
1723028929.6106293,16541494.0
1723028939.6378713,16541683.0
1723028949.7051208,16541800.0
1723028959.6760693,16541971.0
1723028969.6749053,16542196.0
1723028979.6600537,16542277.0
1723028989.6229281,16542466.0
1723028999.6758358,16542691.0
1723029009.7482817,16542808.0
1723029019.7097116,16542943.0
1723029029.6671238,16543168.0
1723029039.637722,16543339.0
1723029049.7225754,16543438.0
1723029059.6817682,16543663.0
1723029069.6723435,16543825.0
1723029079.6806052,16543906.0
1723029089.648776,16544086.0
1723029099.7949233,16544212.0
1723029109.735404,16544401.0
1723029119.6673965,16544590.0
1723029129.5844336,16544716.0
1723029139.6378715,16544887.0
1723029149.6548696,16545076.0
1723029159.679178,16545193.0
1723029170.250824,16545382.0
1723029179.6582007,16545607.0
1723029189.621082,16545688.0
1723029199.6453068,16545868.0
1723029209.6401515,16546093.0
1723029219.6511548,16546219.0
1723029229.6989377,16546381.0
1723029239.6613724,16546606.0
1723029249.7680635,16546795.0
1723029259.625188,16546867.0
1723029269.6304023,16547092.0
1723029279.733896,16547263.0
1723029289.7028022,16547353.0
1723029299.671516,16547533.0
1723029309.7001982,16547659.0
1723029319.6666853,16547839.0
1723029329.6891422,16548019.0
1723029339.623878,16548145.0
1723029349.7156045,16548343.0
1723029359.6734898,16548523.0
1723029369.6384938,16548649.0
1723029379.6476467,16548820.0
1723029389.848214,16549045.0
1723029399.6383715,16549135.0
1723029409.6512375,16549324.0
1723029419.6348548,16549549.0
1723029429.6533,16549666.0
1723029439.667309,16549810.0
1723029449.6352968,16550035.0
1723029459.6410816,16550161.0
1723029469.724516,16550314.0
1723029479.6884327,16550539.0
1723029489.6451743,16550611.0
1723029499.6191146,16550782.0
1723029509.6546345,16550971.0
1723029519.6229477,16551088.0
1723029529.6385355,16551286.0
1723029539.8275225,16551466.0
1723029549.6673512,16551592.0
1723029559.6913152,16551763.0
1723029569.6639786,16551943.0
1723029579.646072,16552069.0
1723029589.6663892,16552258.0
1723029599.6770604,16552474.0
1723029609.6379397,16552564.0
1723029619.6259682,16552735.0
1723029629.647267,16552960.0
1723029639.619467,16553041.0
1723029649.665039,16553239.0
1723029659.5938807,16553464.0
1723029669.6742966,16553581.0
1723029679.6919882,16553716.0
1723029689.6913025,16553941.0
1723029699.6620307,16554067.0
1723029709.6894562,16554202.0
1723029719.6959038,16554382.0
1723029729.693942,16554499.0
1723029739.6744244,16554679.0
1723029749.6626182,16554859.0
1723029759.6791131,16554985.0
1723029769.677338,16555174.0
1723029780.0750382,16555354.0
1723029791.2074192,16555498.0
1723029799.7224,16555669.0
1723029809.7037327,16555885.0
1723029819.681229,16555975.0
1723029829.7175827,16556164.0
1723029839.6867926,16556389.0
1723029849.6520915,16556515.0
1723029859.6695557,16556650.0
1723029869.6703782,16556875.0
1723029879.651558,16557019.0
1723029889.6528466,16557163.0
1723029899.7857175,16557388.0
1723029909.649111,16557406.0
1723029919.7223642,16557631.0
1723029929.6997728,16557811.0
1723029939.6653378,16557928.0
1723029949.7473013,16558126.0
1723029959.6796746,16558306.0
1723029969.657419,16558432.0
1723029979.7290804,16558603.0
1723029989.6913335,16558783.0
1723029999.6936016,16558918.0
1723030009.691808,16559107.0
1723030019.6555116,16559323.0
1723030029.6368592,16559422.0
1723030039.6379738,16559593.0
1723030049.638405,16559818.0
1723030059.6246665,16559908.0
1723030069.7057676,16560097.0
1723030079.6221278,16560322.0
1723030089.676787,16560439.0
1723030100.1385424,16560574.0
1723030109.702119,16560799.0
1723030119.6115859,16560817.0
1723030129.6748836,16561060.0
1723030139.6863017,16561231.0
1723030149.6716933,16561375.0
1723030159.7111468,16561555.0
1723030169.6508598,16561735.0
1723030179.6441565,16561861.0
1723030189.645374,16562050.0
1723030199.68035,16562230.0
1723030209.6512597,16562356.0
1723030219.702257,16562527.0
1723030229.6569254,16562752.0
1723030239.6958127,16562833.0
1723030249.6487448,16563022.0
1723030259.6919327,16563256.0
1723030269.6822581,16563373.0
1723030279.7134612,16563508.0
1723030289.6576064,16563733.0
1723030299.6747794,16563751.0
1723030309.6745565,16563994.0
1723030319.6965888,16564165.0
1723030329.6658788,16564291.0
